Name,M/R,Type,Passive,Q,W,E,R,#1 player,#2 player,#3 player,#4 player,#5 player
Nunu&Willump,M,Support/Fighter,Visionary: Nunu can cast a spell for free after 5 attacks.,"Consume: Nunu commands the yeti to take a bite out of a target minion or monster, dealing heavy damage to it and healing himself.","Blood Boil: Nunu invigorates himself and an allied unit by heating their blood, increasing their Movement and Attack Speeds.","Ice Blast: Nunu launches a ball of ice at an enemy unit, dealing damage and temporarily slowing their Movement and Attack Speeds.","Absolute Zero: Nunu begins to sap the area of heat, slowing all nearby enemies. When the spell ends, he deals massive damage to all enemies caught in the area.",Shaolin Nunu #00000,	good times #0000,	pentaless #NA3,,
Olaf,M,Fighter/Tank,"Berserker Rage: For each 1% of Health missing, Olaf's Attack Speed is increased by 1%.","Undertow: Olaf throws an axe into the ground at a target location, dealing damage to units it passes through and slowing their Movement Speed. If Olaf picks up the axe, the ability's cooldown is reduced by 4.5 seconds.","Vicious Strikes: Olaf's Attack Speed is increased, he gains Life Steal and has increased healing from all sources based on how much Health he is missing.","Reckless Swing: Olaf attacks with such force that it deals true damage to his target and himself, refunding the Health cost if he destroys the target.",Ragnarok: Olaf temporarily becomes immune to disables.,戒骄戒躁不破不立 #miohf,비밀공작원 #KR1,	T T #S T,,
Orianna,R,Mage/Support,Clockwork Windup: Orianna's autoattack deals additional magic damage. This damage increases the more Orianna attacks the same target.,"Command Attack: Orianna commands her ball to fire toward a target location, dealing magic damage to targets along the way (deals less damage to subsequent targets). Her ball remains at the target location after.","Command Dissonance: Orianna commands the ball to release a pulse of energy, dealing magic damage around it. This leaves a field behind that speeds up allies and slows enemies.","Command Protect: Orianna commands her ball to attach to an allied champion, shielding them and dealing magic damage to any enemies it passes through on the way. Additionally, the ball grants additional Armor and Magic Resist to the champion it is attached to.","Command Shockwave: Orianna commands her ball to unleash a shockwave, dealing magic damage and launching nearby enemies towards the ball after a short delay.",TTVItsUniqueCORN #IMPRV,1997 #KR1,Ashito #World,,
Ornn,,,,,,,,엄민규 #kr4,	Makkor #EUW,The Mountain #IRH,,
Pantheon,M,Fighter/Assassin,"Aegis Protection: After attacking or casting spells 4 times, Pantheon will block the next incoming basic attack or turret attack.","Spear Shot: Pantheon hurls his spear at an opponent, dealing damage.","Aegis of Zeonia: Pantheon leaps at an enemy and bashes the enemy with his shield, stunning them. After finishing the attack, Pantheon readies himself to block the next attack.","Heartseeker Strike: Pantheon focuses and unleashes 3 swift strikes to the area in front of him, dealing double damage to champions. Pantheon also becomes more aware of his enemy's vital spots, allowing him to always crit enemies below 15% Health.","Grand Skyfall: Pantheon composes himself then leaps into the air to a target, striking all enemy units in an area. Enemies closer to the impact point take more damage.",pyke4132 #CNT,	El Capitan #Spear,	아이디어 #XXXX,,
Poppy,M,Fighter/Assassin,Valiant Fighter: All physical and Magic Damage dealt to Poppy that exceeds 10% of her current Health is reduced by 50%. This does not reduce damage from structures.,"Devastating Blow: Poppy crushes her opponent, dealing attack damage plus a flat amount and 8% of her target's max Health as bonus damage. The bonus damage cannot exceed a threshold based on rank.","Paragon of Demacia: Passive - Upon receiving damage from or dealing damage with a basic attack, Poppy's Armor and damage are increased for 5 seconds. This effect can stack 10 times. Active - Poppy gains max stacks of Paragon of Demacia and her Movement Speed is increased for 5 seconds","Heroic Charge:  Poppy charges at an enemy and carries them further. The initial impact deals a small amount of damage, and if they collide with terrain, her target will take a high amount of damage and be stunned.","Diplomatic Immunity: Poppy focuses intently on a single enemy champion, dealing increased damage to them. Poppy is immune to any damage and abilities from enemies other than her target.",괴수 8호 #0628,칼과 창 방패 #KR1,Bluffing #1207,,
Pyke,,,,,,,,ALBANIAN #iLevi,soodangkim #vdz,YoRu #0819,,
Qiyana,,,,,,,,dusklol #000,maturazlewusempl #LEWUS,Hawkella #1v9,,
Quinn,R/M,Marksman/Fighter,Harrier: Valor periodically marks enemies as Vulnerable. Quinn's first basic attack against Vulnerable targets will deal bonus physical damage.,Blinding Assault: Quinn calls Valor to blind and damage targets in an area.,Heightened Senses: Passively grants Quinn Attack Speed and Movement Speed after she attacks a Vulnerable target. Valor's Attack Speed is permanently increased. Activate to have Valor reveal a large area nearby (does not reveal stealthed units).,"Vault: Quinn dashes to an enemy, dealing physical damage and slowing the target's Movement Speed. Upon reaching the target, she leaps off the target, briefly interrupting it, and lands near her maximum Attack Range away from the target. Valor will immediately mark this enemy as Vulnerable.","Tag Team: Valor replaces Quinn on the battlefield as a mobile melee attacker. When ready, Quinn returns in a hail of arrows, dealing physical damage to all nearby enemies.",	zng zng zng #11111,	种族叛徒 #ever,잘해여 #Kiss,,
Rakan,,,,,,,,군면제 소년 #405,	LR Rekkles #LRAT,Smile on face #Smile,,
Rammus,M,Tank/Fighter,"Spiked Shell: Rammus gains additional damage as his shell becomes reinforced, converting 25% of his Armor into Attack Damage.","Powerball: Rammus accelerates in a ball towards his enemies, dealing damage and slowing targets affected by the impact.","Defensive Ball Curl: Rammus goes into a defensive formation, vastly increasing his Armor and Magic Resist, while returning damage to attacks.","Puncturing Taunt: Rammus taunts an enemy champion or monster into a reckless assault against Rammus' hard shell, reducing Armor temporarily.","Tremors: Rammus creates waves of destruction pulsing through the ground, causing damage to units and structures near him.",Smile on face #Smile,	별빛나경 #KR1,새우깡끼룩 #KR1,,
Rek'Sai,M,Fighter,Fury of the Xer'Sai: While unburrowed Rek'Sai generates Fury with her basic attacks and spells. When burrowed Rek'Sai consumes Fury to heal herself.,"Queen's Wrath/Prey Seeker: Rek'Sai's next 3 basic attacks deal bonus Physical Damage to nearby enemies. While Burrowed, Rek'Sai launches a burst of void-charged earth that deals Magic Damage and reveals enemies hit.","Burrow/Un-burrow: Rek'Sai burrows into the ground, gaining new abilities and increased Movement Speed. Her vision range is reduced and she cannot use basic attacks. While Burrowed, Rek'Sai may cast Un-burrow to knock up and damage nearby enemies.","Furious Bite/Tunnel: Rek'Sai bites her target, dealing increased damage based on her Fury. Deals True Damage at max Fury. While Burrowed, Rek'Sai creates a re-usable, long lasting tunnel. Enemies can destroy it by standing on top of either entrance.",Void Rush: Rek'Sai travels at incredible speed to a targeted Tunnel Entrance.,최섭섭 #개섭섭,깝치면너만손해 #해보던가,Dino #AOMA,,
Rell,,,,,,,,ALBANIAN #iLevi,	Nio #Nii,Walid Georgey #EUW,,
Renata,,,,,,,,	LightMistress #3491,	Solemn #TTV,	KatataBiceps #EUW,,
Renekton,M,Fighter,"Reign of Anger: Renekton gains Fury for every autoattack he makes. This Fury can empower his abilities with bonus effects. Additionally, Renekton gains bonus Fury when he is low on life.","Cull the Meek: Renekton swings his blade, dealing moderate physical damage to all targets around him, and heals for a small portion of the damage dealt. If he has more than 50 Fury, his damage and heal are increased.","Ruthless Predator: Renekton slashes his target twice, dealing moderate physical damage and stuns them for 0.75 seconds. If Renekton has more than 50 Fury, he slashes his target three times, dealing high physical damage and stuns them for 1.5 seconds.","Slice and Dice: Renekton dashes, dealing damage to units along the way. Empowered, Renekton deals bonus damage and reduces the Armor of units hit.","Dominus: Renekton transforms into the Tyrant form, gaining bonus Health and dealing damage to enemies around him. While in this form, Renekton gains Fury periodically.",	용산구삼대500 #0711,	3in1warrior #NA1,	Nireo #1408,,
Rengar,M,Assassin/Fighter,"Unseen Predator: While in brush or stealth Rengar will leap at the target when using his basic attack. Rengar builds 1 point of Ferocity with each ability he uses on enemies. When reaching 5 points of Ferocity, Rengar's next ability becomes empowered, granting it a bonus effect.",Savagery: Rengar's next basic attack deals bonus damage. Ferocity effect - Rengar deals enhanced damage and grants him Attack Speed and Attack Damage.,"Battle Roar: Rengar lets out a battle roar, damaging enemies and gaining bonus Armor and Magic Resist for a short duration. Ferocity effect - Rengar heals for a large amount.","Bola Strike: Rengar throws a bola, slowing the first target hit for a short duration. Ferocity effect - Roots the target.","Thrill of the Hunt: Rengar stealths himself and revealing all enemy Champions in a large radius around him. While stealthed, he gains Movement Speed when he moves towards enemies and his next attack will cause him to leap. He gains Movement Speed and rapidly generates Ferocity after he breaks stealth.",NattyNatt #RANK1,ギャンブル #zzz,抖音阿甘爱跑步 #xtz小弟,,
Riven,M,Fighter/Assassin,"Runic Blade: Riven's abilities charge her blade, causing her basic attacks to deal bonus physical damage. Riven's blade may be charged up to three times and expends one charge per attack.",Broken Wings: Riven lashes out in a series of strikes. This ability can be reactivated three times in a short time frame with the third hit knocking back nearby enemies.,"Ki Burst: Riven emits a Ki Burst, damaging and stunning nearby enemies.",Valor: Riven steps forward a short distance and blocks incoming damage.,"Blade of the Exile: Riven empowers her keepsake weapon with energy, and gains Attack Damage and Range. During this time, she also gains the ability to use Wind Slash, a powerful ranged attack, once.
",	cant type #1998,never type #1998,草莓猫 #ever,,
Rumble,M,Fighter/Mage,"Junkyard Titan: Every spell Rumble casts gives him Heat. When he reaches 50% Heat he reaches Danger Zone, granting all his basic abilities bonus effects. When he reaches 100% Heat, he starts Overheating, granting his basic attacks bonus damage, but making him unable to cast spells for a few seconds.","Flamespitter: Rumble torches opponents in front of him, dealing magic damage in a cone for 3 seconds. While in Danger Zone this damage is increased.","Scrap Shield: Rumble pulls up a shield, protecting him from damage and granting him a quick burst of speed. While in Danger Zone, the shield strength and speed bonus is increased.","Electro Harpoon: Rumble launches a taser, electrocuting his target with magic damage and slowing their Movement Speed. A second shot can be fired within 3 seconds. While in Danger Zone the damage and slow percentage is increased.","The Equalizer: Rumble fires off a group of rockets, creating a wall of flames that damages and slows enemies.",	qweasdx #EUW,SwiT #ZEUS,	Sinmivak #777,,
Ryze,R,Mage/Fighter,"Arcane Mastery: Casting spells grants a stack of Arcane Mastery. At 5 stacks, Ryze becomes supercharged, gaining a Mana shield that blocks damage and causing his spellcasts to reduce the cooldown of his other spells significantly.","Overload: Ryze throws a charge of pure energy in a line, dealing damage to the first enemy struck. Additionally, Arcane Mastery's supercharged duration is passively increased.","Rune Prison: Ryze traps a target enemy unit in a cage of runes, damaging them and preventing them from moving.",Spell Flux: Ryze releases an orb of pure magical power that bounces from the initial target to nearby enemies and Ryze before bouncing back to the initial target. Enemies hit are damaged and have their Magic Resist reduced.,"Desperate Power: Ryze channels immense arcane power to gain Movement Speed, Spell Vamp, and area of effect damage on his spells. He also passively gains Cooldown Reduction and increases the duration of Arcane Mastery's supercharged effect.",Positive tryhard #001,OSV K0zZ #EUWW,귀뚤뚜기 참기 #11111,,
Samira,,,,,,,,Waliontann #ADC,	Waliontann #LFT,	Floffort #EUW,,
Sejuani,M,Tank/Fighter,Frost: Damaging an enemy with an ability or basic attack grants Sejuani bonus Armor and reduces movement-slowing effects on her.,"Arctic Assault: Charges forward, dealing magic damage and knocking enemies into the air. The charge stops after knocking an enemy champion into the air.","Flail of the Northern Winds: Sejuani's next basic attack deals bonus magic damage to the target and enemies near it. She then spins her flail, dealing magic damage to nearby enemies.",Permafrost: Abilities and basic attacks apply Frost to enemies. Activating Permafrost damages and slows all nearby enemies with Frost.,"Glacial Prison: Sejuani throws her True Ice bola in a line. If the bola hits an enemy champion, it shatters, stunning the target and nearby enemies. If the bola reaches its maximum range, it shatters and slows nearby enemies.",	Allorim #NA1,	최현우 #KR1,	최현우 #KR1,,
Senna,,,,,,,,Creepano #gfghs,TwTv Kluckadell #2002,SPEEDSOKA #SPEED,,
Seraphine,,,,,,,,laura #S T,Torakle #EUW,	Cryoshi #alive,,
Sett,,,,,,,,Geishu #TTV,우리들의 기적 같은 이야기 #2124,1tier KING Set #KING,,
Shaco,M,Assassin,Backstab: Shaco deals 20% bonus damage when striking a unit from behind.,Deceive: Shaco becomes invisible and teleports to target location. His next attack is guaranteed to critically strike.,"Jack In The Box: Shaco creates an invisible, animated Jack-in-the-Box, which will fear, and then attack, nearby enemies.","Two-Shiv Poison: Shaco's Shivs passively poison targets on hit, slowing them and applying a miss chance to minions and monsters. He can throw his Shivs to deal damage and poison the target.","Hallucinate: Shaco creates an illusion of himself near him, which can attack nearby enemies. (Deals half damage to turrets.) Upon death, it explodes, dealing damage to nearby enemies.",clove #yummy,노라조카레 #Shaco,	zaiwoxinli #NA1,,
Shen,M,Tank/Fighter,Ki Strike: Shen's next attack periodically deals bonus damage.,"Vorpal Blade: Damages and life taps a target unit, healing allies that attack the target.","Feint: Shen shields himself, absorbing incoming damage for a few seconds.","Shadow Dash: Shen dashes rapidly toward a target location, taunting enemy champions he encounters and dealing minor damage.","Stand United: Shen shields target allied champion from incoming damage, and soon after teleports to their location.",Shending Help #guide,양귀비 #LCK,찬스케 #KR1,,
Shyvana,M,Fighter/Tank,Dragonborn: Shyvana gains bonus Armor and Magic Resistance. These bonuses are doubled while Shyvana is in Dragon Form.,Twin Bite: Shyvana strikes twice on her next attack. Basic attacks reduce the cooldown of Twin Bite by 0.5 seconds. Dragon Form - Twin Bite cleaves all units in front Shyvana.,"Burnout: Shyvana surrounds herself in fire, dealing magic damage to nearby enemies and moves faster for 3 seconds, part of this damage is applied again when Shyvana basic attacks an enemy with Burnout active. Dragon Form - Burnout scorches the ground beneath it, enemies continue to take damage.",Flame Breath: Shyvana unleashes a fireball that deals damage to all enemies it encounters and marks them for 4 seconds. Shyvana's basic attacks on marked targets deal a percentage of their maximum Health as damage on-hit. Dragon Form - Flame Breath engulfs all units in a cone in front of her.,Dragon's Descent: Shyvana transforms into a dragon and takes flight to a target location. Enemies along her path take damage and are knocked toward her target location.,Dagedox #EUW,한결님 #123,Sqim v3 #EUW,,
Singed,M,Tank/Fighter,Empowered Bulwark: Increases Singed's Health by 25 for every 100 Mana he has.,"Poison Trail: Leaves a trail of poison behind Singed, dealing damage to enemies caught in the path.","Mega Adhesive: Throws a vial of mega adhesive on the ground, slowing enemies who walk on it.","Fling: Damages target enemy unit and flings them into the air behind Singed. If the target Singed flings lands in his Mega Adhesive, they are also rooted.","Insanity Potion: Singed drinks a potent brew of chemicals, granting him increased combat stats.",Lesbian princess #UwU,노오란감귤 #노오란감귤,	불광동 휘발유 #KR1,,
Sion,M,Tank/Fighter,"Glory in Death: After being killed, Sion will reanimate himself with rapidly decaying Health. He can move and attack during this time. All of his abilities are replaced with Death Surge, which grants him a burst of Movement Speed.","Decimating Smash: Sion charges a powerful swing in an area in front of himself that will deal damage to enemies when released. If he charges for enough time, enemies hit by the swing will also be knocked up and stunned.","Soul Furnace: Sion shields himself and can reactivate after 3 seconds to deal Magic Damage to enemies nearby. When Sion kills enemies, he passively gains maximum Health.","Roar of the Slayer: Sion fires a short range shockwave that damages and slows and reduces the Armor of the first enemy hit. If the shockwave hits a minion or monster, it will be knocked back, damaging and slowing all enemies that it passes through.","Unstoppable Onslaught: Sion charges in a direction, ramping up speed over time. He can steer his charge slightly with the mouse cursor location. When he collides with an enemy he deals damage and knocks them up based on the distance he has charged.",Fiji #Zone,Allorim #NA1,GoBGG #GoBGG,Thebausffs #COOL,
Sivir,R,Marksman,Fleet of Foot: Sivir gains a short burst of Movement Speed when she attacks an enemy champion.,"Boomerang Blade: Sivir hurls her crossblade like a boomerang, dealing damage each way.","Ricochet: Sivir's next few basic attacks will bounce to nearby targets, dealing reduced damage to secondary targets.",Spell Shield: Creates a magical barrier that blocks a single enemy ability cast on Sivir. She receives Mana back if a spell is blocked.,"On The Hunt: Sivir leads her allies in battle, granting them a surge Movement Speed for a period of time. Additionally passively grants Sivir bonus Attack Speed while Ricochet is active.",알겠어얼른갈게기다려 #딩구르트,Rayito #EUW,Yabyinda #lovie,,
Skarner,M,Fighter/Tank,"Crystal Spires: Skarner's presence causes crystals to spawn in set locations around the map. While near crystals his team owns, Skarner gains tremendous movement speed, attack speed, and mana regeneration.","Crystal Slash: Skarner lashes out with his claws, dealing physical damage to all nearby enemies and charging himself with Crystal Energy for several seconds if a unit is struck. If he casts Crystal Slash again while powered by Crystal Energy, he deals bonus magic damage.",Crystalline Exoskeleton: Skarner gains a shield and has increased Movement Speed while the shield persists.,Fracture: Skarner summons a blast of crystalline energy which deals damage to enemies struck and slows them. Basic attacking these enemies within a short window will stun them.,"Impale: Skarner suppresses an enemy champion and deals damage to it. During this time, Skarner can move freely and will drag his helpless victim around with him. When the effect ends, the target will be dealt additional damage.",이스굿 #KR1,의스장 #0513,Xally #016,,
Smolder,,,,,,,,Antarctica #S B,twin #KR33,Αrt The Clοwn #EUW,,
Sona,R,Support/Mage,"Power Chord: After casting 3 spells, Sona's next attack deals bonus magic damage in addition to a bonus effect depending on what song Sona last activated.","Hymn of Valor: Sona plays the Hymn of Valor, sends out bolts of sound, dealing magic damage to two nearby enemies, prioritizing champions and monsters. Sona gains a temporary aura that grants allies bonus damage on their next attack against enemies and extends the duration of her aura for each ally she aids.","Aria of Perseverance: Sona plays the Aria of Perseverance, sending out protective melodies, healing Sona and a nearby wounded ally. Sona gains a temporary aura that grants allies tagged by the zone a temporary shield and extends the duration of her aura for each ally she aids.","Song of Celerity: Sona plays the Song of Celerity, granting herself bonus Movement Speed that decays over time. Sona gains a temporary aura that grants nearby allied champions bonus Movement Speed and extends the duration of her aura for each ally she aids.","Crescendo: Sona plays her ultimate chord, stunning enemy champions and forcing them to dance and dealing magic damage to them. Each rank increases the power of all aura effects.",Sergeant Sona #KJP,	Azrael #Sona,reo #peace,,
Soraka,R,Support/Mage,Salvation: Soraka runs faster towards nearby low health allies.,Starcall: A star falls from the sky at the target location dealing magic damage and slowing enemies in the center of effect.,Astral Infusion: Soraka sacrifices a portion of her own Health to heal another friendly unit. Passively heals Soraka when she lands Starcall on an enemy Champion.,"Equinox: Creates a zone at a location that silences all enemies inside. When the zone expires, all enemies still inside are rooted.","Wish: Soraka fills her allies with hope, instantly restoring health to herself and all friendly champions.",Afflictive #藍月なくる,"
Aitsuki Nakuru #藍月なくる",	ShadowZerô #2805,,
Swain,R,Mage/Fighter,"Carrion Renewal: Swain regenerates Mana each time he kills a unit. This amount increases each level.

","Decrepify: Swain sets his raven to cripple an enemy. Over the next 3 seconds, the target is damaged and slowed.","Nevermove: Swain marks a target area. After a short delay, mighty talons grab hold of enemy units, dealing damage and rooting them.","Torment: Swain afflicts his target, dealing damage to them over time and causing them to take increased damage from Swain.

",Ravenous Flock: Swain inspires dread in his enemies by temporarily taking the form of a raven. During this time ravens strike out at up to 3 nearby enemies. Each raven deals damage and heals Swain for half of the damage dealt.,Husum #EUW,Lucius Malfoy #Legit,EBBman #NA1,,
Sylas,,,,,,,,emtwfwydw #9999,	VELJA DEL REY #2203,존 스미스 #John,,
Syndra,R,Mage/Support,Transcendent: Spells gain extra effects at max rank.,Dark Sphere: Syndra conjures a Dark Sphere dealing magic damage. The sphere remains and can be manipulated by her other powers.,Force of Will: Syndra picks up and throws a Dark Sphere or enemy minion dealing magic damage and slowing the Movement Speed of enemies.,Scatter the Weak: Syndra knocks enemies and Dark Spheres back dealing magic damage. Enemies hit by Dark Spheres become stunned.,Unleashed Power: Syndra bombards an enemy Champion with all of her Dark Spheres.,	Toto The Totoro #Toffe,Daopa #CHZZK,Saigo No Inori #EUW,,
Tahm Kench,M,Support/Tank,"An Acquired Taste: By damaging enemy champions with basic attacks and abilities, Tahm Kench builds stacks of An Acquired Taste on them. At three stacks, he can use Devour on an enemy champion.","Tongue Lash: Tahm Kench lashes out with his tongue, damaging and slowing the first unit hit. This ability gains a stun after three stacks of An Acquired Taste.","Devour: Tahm Kench devours a target, dealing a percentage of their maximum health as magic damage. He can spit devoured minions and monsters out as a skillshot that deals magic damage in an area upon impact.","Thick Skin: Tahm Kench turns incoming damage into gray health. As gray health decays, Tahm Kench is healed for a percentage of the gray health amount. When activated, this ability turns all gray health into a shield.","Abyssal Voyage: Tahm Kench puts the heft of his immense body behind his attacks and abilities, gaining extra damage based on his bonus health. When activated, Tahm Kench teleports across the map, and he may bring one ally champion with him.",성기사의야망 #6657,따따맨 #KR1,마왕 탐 켄치 #KR1,,
Taliyah,,,,,,,,Odysseus #131,권선원 #KR1,	dread hunger #samo,,
Talon,M,Assassin/Fighter,"Mercy: Talon deals 10% more damage with his basic attacks to any target that is slowed, stunned, immobilized, or suppressed.","Noxian Diplomacy: Talon's next basic attack deals bonus physical damage. If the target is a champion, they will bleed, taking additional physical damage over a period of time and revealing their location for the duration.","Rake: Talon sends out a volley of daggers that then return back to him, dealing physical damage every time it passes through an enemy. Additionally the enemy is slowed for a short duration.","Cutthroat: Talon instantly appears behind his target, briefly slowing them and amplifying his damage against that target.","Shadow Assault: Talon disperses a ring of blades and becomes invisible while gaining additional Movement Speed. When Talon emerges from invisibility, the blades converge on his location. Each time the blades move, Shadow Assault deals physical damage to enemies hit by at least one blade.",The Face Farter #EUW,wozaoyichenlun #xxxxx,Winter #윈터Fan,,
Taric,M,Support/Fighter,"Gemcraft: After casting a spell, Taric's next basic attack deals bonus magic damage based on his Armor and reduces his cooldowns.",Imbue: Taric brings forth earthen energy to heal an ally and himself. This heal is more potent when Taric heals only himself.,"Shatter: Taric is protected by a hardening aura, increasing the Armor of himself and nearby allied champions. He may choose to splinter the enchanted rocks surrounding him to deal damage and decrease the Armor of nearby enemies at the cost of some Armor for a short time.","Dazzle: Taric emits a brilliant ball of prismatic light from his gemmed shield, stunning his target and damaging them based on how close he is to them.
","Radiance: Taric slams his hammer into the ground to deal damage to nearby enemies. For a time after, Taric's gems radiate energy, empowering Taric and his allies with bonus Attack Damage and Ability Power.",초계반 #777,	yaya #YQFZZ,	Sasaki #sit,,
Teemo,R,Marksman/Assassin,"Camouflage: If Teemo stands still and takes no actions for a short duration, he becomes stealthed indefinitely. Teemo becomes stealthed twice as fast while in brush and can move around in brush without breaking his stealth. After leaving stealth, Teemo gains the Element of Surprise, increasing his Attack Speed for 3 seconds.","Blinding Dart: Obscures an enemy's vision with a powerful venom, dealing damage to the target unit and blinding it for the duration.","Move Quick: Teemo scampers around, passively increasing his Movement Speed until he is struck by an enemy champion or turret. Teemo can sprint to gain bonus Movement Speed that isn't stopped by being struck for a short time.","Toxic Shot: Each of Teemo's attacks will poison the target, dealing damage on impact and each second after for 4 seconds.","Noxious Trap: Teemo throws an explosive poisonous trap using one of the mushrooms stored in his pack. If an enemy steps on the trap, it will release a poisonous cloud, slowing enemies and damaging them over time.",실명 중독자 #KR1,티모 하기싫다 #KR1,게이온 #KR1,,
Thresh,R,Support/Fighter,"Damnation: Thresh can harvest the souls of enemies that die near him, permanently granting him Armor and Ability Power.",Death Sentence: Thresh binds an enemy in chains and pulls them toward him. Activating this ability a second time pulls Thresh to the enemy.,Dark Passage: Thresh throws out a lantern that shields nearby allied Champions from damage. Allies can click the lantern to dash to Thresh.,"Flay: Thresh's attacks wind up, dealing more damage the longer he waits between attacks. When activated, Thresh sweeps his chain, knocking all enemies hit in the direction of the blow.",The Box: A prison of walls that slow and deal damage if broken.,Full Drip Nsurr #EUW,TripleMonstre #EUWFR,Rychly #001,,
Tristana,R,Marksman/Assassin,Draw a Bead: Increases Tristana's Attack Range as she levels.,"Rapid Fire: Tristana fires her weapon rapidly, increasing her Attack Speed for a short time. Shooting enemies marked with Explosive Charge reduces the cooldown by a small amount each hit.","Rocket Jump: Tristana fires at the ground to propel her to a distant location, dealing damage and slowing surrounding units for a brief period where she lands.","Explosive Charge: When Tristana kills a unit, her cannonballs burst into shrapnel, dealing damage to surrounding enemies. Can be activated to place a bomb on a target enemy that explodes after a short duration dealing damage to surrounding units.",Buster Shot: Tristana loads a massive cannonball into her weapon and fires it at an enemy unit. This deals Magic Damage and knocks the target back.,	NASA #쟁 구,	쟁 구 #0413,	Daksider #FOCUS,,
Trundle,M,Fighter/Tank,"King's Tribute: When an enemy unit dies near Trundle, he heals for a percent of its maximum Health.","Chomp: Trundle bites his opponent, dealing damage, briefly slowing and sapping some of their Attack Damage.","Frozen Domain: Trundle turns target location into his domain, gaining Attack Speed, Movement Speed, and increased healing from all sources while on it.","Pillar of Ice: Trundle creates an ice pillar at target location, becoming impassable terrain and slowing all nearby enemy units.","Subjugate: Trundle immediately steals a percent of his target's Health, Armor and Magic Resistance. Over the next 4 seconds the amount of Health, Armor, and Magic Resistance stolen is doubled.",열심히할게용 #할게용,	i love KT #goat9,	Chelouche3 #9972,,
Tryndamere,M,Fighter/Assassin,"Battle Fury: Tryndamere gains Fury for each attack, critical strike, and killing blow he makes. Fury passively increases his Critical Strike Chance and can be consumed with his Bloodlust spell.","Bloodlust: Tryndamere thrives on the thrills of combat, increasing his Attack Damage as he is more and more wounded. He can cast Bloodlust to consume his Fury and heal himself.","Mocking Shout: Tryndamere lets out an insulting cry, decreasing surrounding champions' Attack Damage. Enemies with their backs turned to Tryndamere also have their Movement Speed reduced.","Spinning Slash: Tryndamere slices toward a target unit, dealing damage to enemies in his path.","Undying Rage: Tryndamere's lust for battle becomes so strong that he is unable to die, no matter how wounded he becomes.",다딱이대갈통 #kr0,	FA ing #0969,foggedftw2 #NA1,,
Twisted Fate,R,Mage,"Loaded Dice: Upon killing a unit, Twisted Fate rolls his 'lucky' dice receiving anywhere between 1 and 6 bonus gold.","Wild Cards: Twisted Fate throws three cards, dealing damage to each enemy unit they pass through.","Pick A Card: Twisted Fate chooses a magic card from his deck, and uses that for his next attack, causing bonus effects. ","Stacked Deck: Every 4 attacks, Twisted Fate deals bonus damage. In addition, his Attack Speed is increased.","Destiny: Twisted Fate predicts the fortunes of his foes, revealing all enemy champions and enabling the use of Gate, which teleports Twisted Fate to any target location in 1.5 seconds.",	sdawxl #KR1,헤 돈 #KR1,	Ashito #World,,
Twitch,R,Marksman/Assassin,"Deadly Venom: Twitch's basic attacks infect the target, dealing true damage each second.","Ambush: Twitch becomes invisible for a short duration and, while invisible, he gains Movement Speed. When leaving invisibility, Twitch gains Attack Speed for a short duration.","Venom Cask: Twitch hurls a cask of venom that explodes in an area, slowing targets and applying deadly venom to the target.

",Contaminate: Twitch wreaks further havoc on poisoned enemies with a blast of his vile diseases.,"Rat-Ta-Tat-Tat: Twitch unleashes the full power of his crossbow, shooting bolts over a great distance that pierce all enemies caught in their path.","
TwTv LadicusVibe #Vayne",	Αrt The Clοwn #EUW,Kitagawra #NA1,,
Udyr,M,Fighter/Tank,Monkey's Agility: Entering a stance grants Udyr 10% Attack Speed and 5 Movement Speed for a short duration. This effect can stack up to 3 times.,"Tiger Stance: Tiger Stance: Activation - Udyr's Attack Speed is increased for a few seconds, and his first basic attack will deal a high amount of damage over 2 seconds. Persistent Effect - Udyr's basic attacks deal extra damage.",Turtle Stance: Turtle Stance: Activation - Udyr gains a temporary shield that absorbs damage. Persistent Effect - Udyr gains Life Steal.,Bear Stance:  Activation - Udyr increases Movement Speed for a short duration. Persistent Effect - Udyr's basic attacks stun his target for 1 second. This effect cannot occur on the same target for several seconds.,"Phoenix Stance: Activation - Udyr unleashes pulsing waves of fire, dealing damage to nearby enemies for 5 seconds. Persistent Effect - With the first basic attack and every third attack after, Udyr engulfs enemies in front of him with flames.",오브크 #케이알원,Anna ONLY #anna,Verdict #9108,,
Urgot,R,Marksman/Fighter,Zaun-Touched Bolt Augmenter: Urgot's basic attacks and Acid Hunters reduce his targets' damage by 15% for 2.5 seconds.,"Acid Hunter: Urgot fires an Acid Hunter missile that collides with the first enemy it hits, slowing the target if he has his Terror Capacitor up. Acid Hunter missile-locks on enemies affected by Noxian Corrosive Charge.","Terror Capacitor: Urgot charges up his capacitor to gain a shield. While the shield is active, Urgot gains slowing attacks.",Noxian Corrosive Charge: Urgot launches a corrosive charge that damages enemies in an area and reduces their Armor.,"Hyper-Kinetic Position Reverser: Urgot charges up his Hyper-Kinetic Position Reverser, swapping positions with the target. His target is suppressed for the duration of the channel. He gains increased Armor and Magic Resist after the swap.",엄민규 #kr4,	quante #urgot,Lerax #URGOT,,
